Имя,Дата,Ссылка на статью,Краткое описание
свобода.імена,18 грудня 2021,https://www.epravda.com.ua/news/2014/04/14/440467/,No description
сергій арбузов,18 грудня 2021,https://www.epravda.com.ua/news/2014/04/14/440467/,No description
микола азаров,18 грудня 2021,https://www.epravda.com.ua/news/2014/04/14/440467/,No description
олексій,18 грудня 2021,https://www.epravda.com.ua/news/2014/04/14/440467/,No description
олександр єфремов,18 грудня 2021,https://www.epravda.com.ua/news/2014/04/14/440467/,No description
раїса богатирьова,18 грудня 2021,https://www.epravda.com.ua/news/2014/04/14/440467/,No description
юрій іванющенко,18 грудня 2021,https://www.epravda.com.ua/news/2014/04/14/440467/,No description
сергій клюєв,18 грудня 2021,https://www.epravda.com.ua/news/2014/04/14/440467/,No description
борис колесніков,18 грудня 2021,https://www.epravda.com.ua/news/2014/04/14/440467/,No description
олена лукаш,18 грудня 2021,https://www.epravda.com.ua/news/2014/04/14/440467/,No description
олександра гриценка.в,18 листопада 2019,https://www.epravda.com.ua/news/2019/11/18/653833/,No description
гриценка,18 листопада 2019,https://www.epravda.com.ua/news/2019/11/18/653833/,No description
януковича.гриценко,18 листопада 2019,https://www.epravda.com.ua/news/2019/11/18/653833/,No description
валерією гонтаревою,18 листопада 2019,https://www.epravda.com.ua/news/2019/11/18/653833/,No description
гонтаревої пітиу,18 листопада 2019,https://www.epravda.com.ua/news/2019/11/18/653833/,No description
гордійчук14177,22 березня 2022,https://www.epravda.com.ua/news/2022/03/22/684481/,No description
дмитро шимків,22 березня 2022,https://www.epravda.com.ua/news/2022/03/22/684481/,No description
шимків.на,22 березня 2022,https://www.epravda.com.ua/news/2022/03/22/684481/,No description
йоста люнгман,12 лютого 2019,https://www.epravda.com.ua/news/2019/02/12/645212/,No description
люнгман.він,12 лютого 2019,https://www.epravda.com.ua/news/2019/02/12/645212/,No description
люнгман,12 лютого 2019,https://www.epravda.com.ua/news/2019/02/12/645212/,No description
петро порошенкопідписав,12 лютого 2019,https://www.epravda.com.ua/news/2019/02/12/645212/,No description
сергія піонтковського,19 червня 2007,https://www.epravda.com.ua/news/2007/06/19/148109/,No description
ануара айжулова,19 червня 2007,https://www.epravda.com.ua/news/2007/06/19/148109/,No description
іпг,19 червня 2007,https://www.epravda.com.ua/news/2007/06/19/148109/,No description
мухтаром аблязовим,19 червня 2007,https://www.epravda.com.ua/news/2007/06/19/148109/,No description
олександра роднянського,11 вересня 2009,https://www.epravda.com.ua/news/2009/09/11/207267/,No description
бориса фуксмана.влітку,11 вересня 2009,https://www.epravda.com.ua/news/2009/09/11/207267/,No description
ігорем коломийським,11 вересня 2009,https://www.epravda.com.ua/news/2009/09/11/207267/,No description
олександру говору,7 листопада 2024,https://www.epravda.com.ua/news/2023/01/16/695989/,No description
петро порошенко,18 грудня 2008,https://www.epravda.com.ua/news/2008/12/18/173679/,No description
юлії тимошенко,18 грудня 2008,https://www.epravda.com.ua/news/2008/12/18/173679/,No description
микитася,10 листопада 2018,https://www.epravda.com.ua/news/2018/11/10/642509/,No description
гройсмана,10 листопада 2018,https://www.epravda.com.ua/news/2018/11/10/642509/,No description
григорія дзекона,21 березня 2011,https://www.epravda.com.ua/news/2011/03/21/278073/,No description
-grigori dzekon,21 березня 2011,https://www.epravda.com.ua/news/2011/03/21/278073/,No description
олени дзекон,21 березня 2011,https://www.epravda.com.ua/news/2011/03/21/278073/,No description
георгій дзекон,21 березня 2011,https://www.epravda.com.ua/news/2011/03/21/278073/,No description
григорій дзекон,21 березня 2011,https://www.epravda.com.ua/news/2011/03/21/278073/,No description
фурсін,31 января 2022,https://www.epravda.com.ua/rus/publications/2022/01/31/681913/,No description
фірташу,31 января 2022,https://www.epravda.com.ua/rus/publications/2022/01/31/681913/,No description
гончарук.за,17 вересня 2019,https://www.epravda.com.ua/news/2019/09/17/651696/,No description
зеленського,17 вересня 2019,https://www.epravda.com.ua/news/2019/09/17/651696/,No description
коломойським,17 вересня 2019,https://www.epravda.com.ua/news/2019/09/17/651696/,No description
порошенко,17 вересня 2019,https://www.epravda.com.ua/news/2019/09/17/651696/,No description
коломойському,17 вересня 2019,https://www.epravda.com.ua/news/2019/09/17/651696/,No description
зеленський,17 вересня 2019,https://www.epravda.com.ua/news/2019/09/17/651696/,No description
коломойського,17 вересня 2019,https://www.epravda.com.ua/news/2019/09/17/651696/,No description
коломойський,17 вересня 2019,https://www.epravda.com.ua/news/2019/09/17/651696/,No description
авіва,17 лютого 2012,https://www.epravda.com.ua/news/2012/04/18/321714/,No description
стасевський,17 лютого 2012,https://www.epravda.com.ua/news/2012/04/18/321714/,No description
олена дубіна,11 вересня 2023,https://www.epravda.com.ua/news/2023/09/11/704169/,No description
олена дубіна,11 вересня 2023,https://www.epravda.com.ua/news/2023/09/11/704169/,No description
володимира путіна,7 листопада 2024,https://www.epravda.com.ua/news/2023/04/28/699592/,No description
микитасю,19 жовтня 2022,https://www.epravda.com.ua/news/2022/10/19/692822/,No description
микитасю,19 жовтня 2022,https://www.epravda.com.ua/news/2022/10/19/692822/,No description
максиму микитасю,19 жовтня 2022,https://www.epravda.com.ua/news/2022/10/19/692822/,No description
максима,19 жовтня 2022,https://www.epravda.com.ua/news/2022/10/19/692822/,No description
борису філатову.реклама,19 жовтня 2022,https://www.epravda.com.ua/news/2022/10/19/692822/,No description
микитась,19 жовтня 2022,https://www.epravda.com.ua/news/2022/10/19/692822/,No description
філатову,19 жовтня 2022,https://www.epravda.com.ua/news/2022/10/19/692822/,No description
темоюмикитася,19 жовтня 2022,https://www.epravda.com.ua/news/2022/10/19/692822/,No description
наку,24 лютого 2022,https://www.epravda.com.ua/news/2022/01/3/681158/,No description
фірташа,28 лютого 2019,https://www.epravda.com.ua/news/2019/02/28/645698/,No description
фірташа вашингтону,28 лютого 2019,https://www.epravda.com.ua/news/2019/02/28/645698/,No description
фірташа,28 лютого 2019,https://www.epravda.com.ua/news/2019/02/28/645698/,No description
фірташ,28 лютого 2019,https://www.epravda.com.ua/news/2019/02/28/645698/,No description
фірташа,28 лютого 2019,https://www.epravda.com.ua/news/2019/02/28/645698/,No description
він.у,7 листопада 2024,https://www.epravda.com.ua/news/2009/01/9/176908/,No description
івана закржевска,7 листопада 2024,https://www.epravda.com.ua/news/2009/01/9/176908/,No description
коломойського,7 листопада 2024,https://www.epravda.com.ua/news/2016/04/19/590079/,No description
микитася,20 жовтня 2017,https://www.epravda.com.ua/news/2017/10/20/630290/,No description
гройсмана,20 жовтня 2017,https://www.epravda.com.ua/news/2017/10/20/630290/,No description
юрія недашковського,12 грудня 2019,https://www.epravda.com.ua/news/2019/12/12/654782/,No description
юрія недашковського,12 грудня 2019,https://www.epravda.com.ua/news/2019/12/12/654782/,No description
"неправдивими"".юрій недашковський",12 грудня 2019,https://www.epravda.com.ua/news/2019/12/12/654782/,No description
денис шмигаль,18 грудня 2021,https://www.epravda.com.ua/news/2021/12/18/680792/,No description
володимир зеленський,16 грудня 2020,https://www.epravda.com.ua/news/2020/12/16/669251/,No description
петро порошенко.договір,16 грудня 2020,https://www.epravda.com.ua/news/2020/12/16/669251/,No description
зеленський,16 грудня 2020,https://www.epravda.com.ua/news/2020/12/16/669251/,No description
грищенко,28 березня 2021,https://www.epravda.com.ua/news/2010/04/22/233457/,No description
перспективу.грищенко,28 березня 2021,https://www.epravda.com.ua/news/2010/04/22/233457/,No description
фюле,28 березня 2021,https://www.epravda.com.ua/news/2010/04/22/233457/,No description
василя лозинського.джерело,7 листопада 2024,https://www.epravda.com.ua/news/2023/01/22/696217/,No description
лозинського,7 листопада 2024,https://www.epravda.com.ua/news/2023/01/22/696217/,No description
дмитром кулебою,27 вересня 2021,https://www.epravda.com.ua/news/2021/09/27/678198/,No description
"петером сійярто"".29",27 вересня 2021,https://www.epravda.com.ua/news/2021/09/27/678198/,No description
алексєй міллер,27 вересня 2021,https://www.epravda.com.ua/news/2021/09/27/678198/,No description
петер сійярто,27 вересня 2021,https://www.epravda.com.ua/news/2021/09/27/678198/,No description
гватемалою,20 серпня 2007,https://www.epravda.com.ua/news/2007/08/20/146316/,No description
в'єтнамом,20 серпня 2007,https://www.epravda.com.ua/news/2007/08/20/146316/,No description
володимир зеленський,28 лютого 2020,https://www.epravda.com.ua/news/2020/02/28/657567/,No description
курченка,19 грудня 2013,https://www.epravda.com.ua/news/2013/12/19/410385/,No description
олександра януковича,19 грудня 2013,https://www.epravda.com.ua/news/2013/12/19/410385/,No description
борис тімонькін,19 грудня 2013,https://www.epravda.com.ua/news/2013/12/19/410385/,No description
сергія курченка,19 грудня 2013,https://www.epravda.com.ua/news/2013/12/19/410385/,No description
арсеній яценюк,22 березня 2014,https://www.epravda.com.ua/news/2014/03/22/430744/,No description
юлією тимошенко.про,13 червня 2015,https://www.epravda.com.ua/news/2015/06/13/546667/,No description
андрій тетерук,13 червня 2015,https://www.epravda.com.ua/news/2015/06/13/546667/,No description
вікторія войцицька,13 червня 2015,https://www.epravda.com.ua/news/2015/06/13/546667/,No description
сергій лещенко,13 червня 2015,https://www.epravda.com.ua/news/2015/06/13/546667/,No description
олег ляшко.реклама,13 червня 2015,https://www.epravda.com.ua/news/2015/06/13/546667/,No description
арсеній яценюк,13 червня 2015,https://www.epravda.com.ua/news/2015/06/13/546667/,No description
юлії тимошенко,13 червня 2015,https://www.epravda.com.ua/news/2015/06/13/546667/,No description
володимира гройсмана,14 травня 2019,https://www.epravda.com.ua/news/2019/05/14/647762/,No description
микитася,14 травня 2019,https://www.epravda.com.ua/news/2019/05/14/647762/,No description
гройсмана,14 травня 2019,https://www.epravda.com.ua/news/2019/05/14/647762/,No description
рсзо бм-21,25 травня 2021,https://www.epravda.com.ua/news/2017/01/31/619289/,No description
одесситы рассказывают,7 липня 2014,https://www.epravda.com.ua/publications/2014/07/7/474016/,No description
бізнес?олександр кірпічовгенеральний,7 липня 2014,https://www.epravda.com.ua/publications/2014/07/7/474016/,No description
вакс,25 березня 2021,https://www.epravda.com.ua/news/2021/03/25/672305/,No description
вакс,25 березня 2021,https://www.epravda.com.ua/news/2021/03/25/672305/,No description
олеся чемерис,25 березня 2021,https://www.epravda.com.ua/news/2021/03/25/672305/,No description
конопкіну,25 березня 2021,https://www.epravda.com.ua/news/2021/03/25/672305/,No description
олександр дубілет.генпрокурорка,25 березня 2021,https://www.epravda.com.ua/news/2021/03/25/672305/,No description
ірина венедіктова,25 березня 2021,https://www.epravda.com.ua/news/2021/03/25/672305/,No description
петро порошенко,14 листопада 2012,https://www.epravda.com.ua/news/2012/11/14/344068/,No description
щоне,14 листопада 2012,https://www.epravda.com.ua/news/2012/11/14/344068/,No description
ахметова,23 травня 2016,https://www.epravda.com.ua/news/2016/05/23/593661/,No description
роман володимирович.як,15 лютого 2012,https://www.epravda.com.ua/news/2012/02/15/316065/,No description
клименка,22 листопада 2017,https://www.epravda.com.ua/news/2017/11/22/631425/,No description
олександра клименка,22 листопада 2017,https://www.epravda.com.ua/news/2017/11/22/631425/,No description
наталія глушак,28 лютого 2018,https://www.epravda.com.ua/news/2018/02/28/634538/,No description
дмитрий яблоновский,31 марта 2023,https://www.epravda.com.ua/rus/publications/2023/03/31/698663/,No description
александр лысенко,31 марта 2023,https://www.epravda.com.ua/rus/publications/2023/03/31/698663/,No description
алексей павлыш,31 марта 2023,https://www.epravda.com.ua/rus/publications/2023/03/31/698663/,No description
мария крамар,31 марта 2023,https://www.epravda.com.ua/rus/publications/2023/03/31/698663/,No description
активівоператор гтссенниченко,31 марта 2023,https://www.epravda.com.ua/rus/publications/2023/03/31/698663/,No description
дмитра сенниченка.сенниченка,31 марта 2023,https://www.epravda.com.ua/rus/publications/2023/03/31/698663/,No description
юрія липка,31 марта 2023,https://www.epravda.com.ua/rus/publications/2023/03/31/698663/,No description
янукович,7 грудня 2011,https://www.epravda.com.ua/news/2011/12/7/308630/,No description
андрієм портновим,7 грудня 2011,https://www.epravda.com.ua/news/2011/12/7/308630/,No description
януковича,20 грудня 2011,https://www.epravda.com.ua/news/2011/12/20/310330/,No description
